充電器グループID,施設ID,施設名,モデル,カテゴリー,利用月,日数,台数,稼働開始日,稼働終了日(手動),稼働時間(分),利用人数,利用回数,稼働率,1人あたりの利用分数,1回あたりの利用分数,平均利用頻度,ブランド,運営会社
12,15,フォレストサンズ長瀞,普通,目的地,2023-10月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-11月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-12月,31.0,1.0,2023/06/23,,677.4833,1,2,1.5177,677.4833,338.7417,2.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-1月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-2月,29.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-3月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-4月,30.0,1.0,2023/06/23,,2803.2,2,7,6.4889,1401.6,400.4571,3.5,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-5月,31.0,1.0,2023/06/23,,2455.6667,2,3,5.501,1227.8333,818.5556,1.5,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-6月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-7月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-8月,31.0,1.0,2023/06/23,,501.85,2,2,1.1242,250.925,250.925,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-9月,30.0,1.0,2023/06/23,,36.2167,0,1,0.0838,0.0,36.2167,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-10月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-11月,30.0,1.0,2023/06/23,,1144.0667,1,1,2.6483,1144.0667,1144.0667,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2024-12月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-1月,31.0,1.0,2023/06/23,,97.4833,1,1,0.2184,97.4833,97.4833,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-2月,28.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-3月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-4月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-5月,31.0,1.0,2023/06/23,,119.3,1,1,0.2672,119.3,119.3,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-6月,30.0,1.0,2023/06/23,,230.45,1,1,0.5334,230.45,230.45,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-7月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-8月,31.0,1.0,2023/06/23,,264.8833,1,1,0.5934,264.8833,264.8833,1.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-9月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-10月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-11月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2025-12月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2026-1月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2026-2月,28.0,1.0,2023/06/23,,324.8167,1,2,0.8056,324.8167,162.4083,2.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2026-3月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2026-4月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
